cycle,hour_cyc,stp,value
0,0,1,4.7565
24,0,1,8.447536549313405
48,0,1,3.7127662605592855
72,0,1,3.3770122246816925
96,0,1,2.904785272482383
120,0,1,2.35053209831442
144,0,1,1.949582430258969
168,0,1,1.536070364145717
192,0,1,1.5119772748368916
216,0,1,1.5119219376443689
240,0,1,1.5119216661951942
264,0,1,1.5119216651190068
288,0,1,1.2812199831949336
312,0,1,1.5004681273660703
336,0,1,1.5004681273680551
360,0,1,1.5004681273700229
384,0,1,1.50046812737186
408,0,1,1.500468127373736
432,0,1,1.5004681273756204
456,0,1,1.5004681287250312
480,0,1,1.5004681433199563
504,0,1,1.500468227040326
528,0,1,1.5004685648938585
552,0,1,1.5004696402406328
576,0,1,1.5004725111197628
600,0,1,1.5004791891936435
624,0,1,1.5004930744408962
648,0,1,1.5005193519321829
672,0,1,1.5005652197306374
696,0,1,1.5006398008093578
720,0,1,1.5007536014764495
744,0,1,1.5009174104283074
768,0,1,1.5011405767161277
792,0,1,1.501428651228185
816,0,1,1.5017804181179664
840,0,1,1.5021843793060798
864,0,1,1.5026147913147616
888,0,1,1.5030273957687683
912,0,1,1.5033550373299962
936,0,1,1.5035034247698553
960,0,1,1.5033473550524323
984,0,1,1.5027277741840377
1008,0,1,1.5035066951750296
1032,0,1,1.5054366500450602
1056,0,1,1.5079311424939064
1080,0,1,1.510319030650192
1104,0,1,1.511886291393404
1128,0,1,1.5119144021145607
1152,0,1,1.5097138658047162
1176,0,1,1.5046520542214004
1200,0,1,1.4961750501533169
1224,0,1,1.4838235645424727
1248,0,1,1.4672433109048517
1272,0,1,1.4461904377333539
1296,0,1,1.420532742606232
1320,0,1,1.3902474217222514
1344,0,1,1.3554160613366457
1368,0,1,1.3162174792288241
1392,0,1,1.2729189045830729
1416,0,1,1.225865870164783
1440,0,1,1.1754711005613727
1464,0,1,1.1222026242644374
1488,0,1,1.0665713162594106
1512,0,1,1.0091180853162618
1536,0,1,0.9504009457728185
1560,0,1,0.8909822451777974
1584,0,1,0.8314163454325025
1608,0,1,0.7722380672542275
1632,0,1,0.7139522005065618
1656,0,1,0.6570243544459736
1680,0,1,0.6018733737254394
1704,0,1,0.5488654821212695
1728,0,1,0.4983102420596774
1752,0,1,0.45045834044088257
1776,0,1,0.40550113615181393
1800,0,1,0.36357183734469006
1824,0,1,0.32474812110737233
1848,0,1,0.2890559671609016
1872,0,1,0.25647445179063166
1896,0,1,0.2269412381250323
1920,0,1,0.2003585027846429
1944,0,1,0.17659905471091947
1968,0,1,0.15551242704821885
1992,0,1,0.1369307544935999
2016,0,1,0.1206742838226925
2040,0,1,0.106556401849101
2064,0,1,0.09438810077783942
2088,0,1,0.08398183409631924
2112,0,1,0.07515474561893577
2136,0,1,0.06773127930088327
2160,0,1,0.06154519762015231
2184,0,1,0.05644105166441234
2208,0,1,0.05227515680651075
2232,0,1,0.04891613442820339
2256,0,1,0.04624508312186529
2280,0,1,0.04415544276873608
2304,0,1,0.04255261249597079
2328,0,1,0.04135337935173911
2352,0,1,0.04048520916244822
2376,0,1,0.03988544493258767
2400,0,1,0.03950045172433927
2424,0,1,0.03928474053712915
2448,0,1,0.03920009754804972
2472,0,1,0.03921473935807852
2496,0,1,0.0393025097300373
2520,0,1,0.03944212877422663
2544,0,1,0.03961650165905999
2568,0,1,0.03981209069068559
2592,0,1,0.04001835198034441
2616,0,1,0.04022723586037601
