cycle,hour_cyc,stp,value
0,0,1,0.14545454545454545
24,0,1,0.14545454545454545
48,0,1,0.1454545454543431
72,0,1,0.08
96,0,1,0.08
120,0,1,0.08
144,0,1,0.08
168,0,1,0.08
192,0,1,0.08
216,0,1,0.08
240,0,1,0.08
264,0,1,0.08
288,0,1,0.08
312,0,1,0.08
336,0,1,0.08
360,0,1,0.08
384,0,1,0.08
408,0,1,0.08
432,0,1,0.08
456,0,1,0.08
480,0,1,0.08
504,0,1,0.08
528,0,1,0.08
552,0,1,0.08
576,0,1,0.08
600,0,1,0.08
624,0,1,0.08
648,0,1,0.08
672,0,1,0.08
696,0,1,0.08
720,0,1,0.08
744,0,1,0.08
768,0,1,0.08
792,0,1,0.08
816,0,1,0.08
840,0,1,0.08
864,0,1,0.08
888,0,1,0.08
912,0,1,0.08
936,0,1,0.08
960,0,1,0.08
984,0,1,0.08
1008,0,1,0.08
1032,0,1,0.08
1056,0,1,0.08
1080,0,1,0.08
1104,0,1,0.08
1128,0,1,0.08
1152,0,1,0.08
1176,0,1,0.08
1200,0,1,0.08
1224,0,1,0.08
1248,0,1,0.08
1272,0,1,0.08
1296,0,1,0.08
1320,0,1,0.08
1344,0,1,0.08
1368,0,1,0.08
1392,0,1,0.08
1416,0,1,0.08
1440,0,1,0.08
1464,0,1,0.08
1488,0,1,0.08
1512,0,1,0.08
1536,0,1,0.08
1560,0,1,0.08
1584,0,1,0.08
1608,0,1,0.08
1632,0,1,0.08
1656,0,1,0.08
1680,0,1,0.08
1704,0,1,0.08
1728,0,1,0.08
1752,0,1,0.08
1776,0,1,0.08
1800,0,1,0.08
1824,0,1,0.08
1848,0,1,0.08
1872,0,1,0.08
1896,0,1,0.08
1920,0,1,0.08
1944,0,1,0.08
1968,0,1,0.08
1992,0,1,0.08
2016,0,1,0.08
2040,0,1,0.08
2064,0,1,0.08
2088,0,1,0.08
2112,0,1,0.08
2136,0,1,0.08
2160,0,1,0.08
2184,0,1,0.08
2208,0,1,0.08
2232,0,1,0.08
2256,0,1,0.08
2280,0,1,0.08
2304,0,1,0.08
2328,0,1,0.08
2352,0,1,0.08
2376,0,1,0.08
2400,0,1,0.08
2424,0,1,0.08
2448,0,1,0.08
2472,0,1,0.08
2496,0,1,0.08
2520,0,1,0.08
2544,0,1,0.08
2568,0,1,0.08
2592,0,1,0.08
2616,0,1,0.08
