cycle,hour_cyc,stp,value
0,0,1,0.0552
24,0,1,0.0552
48,0,1,0.0552
72,0,1,0.0552
96,0,1,0.0552
120,0,1,0.0552
144,0,1,0.0552
168,0,1,0.0552
192,0,1,0.0552
216,0,1,0.0552
240,0,1,0.0552
264,0,1,0.0552
288,0,1,0.0552
312,0,1,0.0552
336,0,1,0.0552
360,0,1,0.0552
384,0,1,0.0552
408,0,1,0.0552
432,0,1,0.0552
456,0,1,0.0552
480,0,1,0.0552
504,0,1,0.6721
528,0,1,0.6721
552,0,1,0.6721
576,0,1,0.6721
600,0,1,0.6721
624,0,1,0.6721
648,0,1,0.6721
672,0,1,0.6721
696,0,1,0.6721
720,0,1,0.6721
744,0,1,0.6721
768,0,1,0.6721
792,0,1,0.6721
816,0,1,0.6721
840,0,1,0.6721
864,0,1,0.6721
888,0,1,0.6721
912,0,1,0.6721
936,0,1,0.6721
960,0,1,0.6721
984,0,1,0.8176
1008,0,1,0.8176
1032,0,1,0.8176
1056,0,1,0.8176
1080,0,1,0.8176
1104,0,1,0.8176
1128,0,1,0.8176
1152,0,1,0.8176
1176,0,1,0.8176
1200,0,1,0.8176
1224,0,1,0.8176
1248,0,1,0.8176
1272,0,1,0.8176
1296,0,1,0.8176
1320,0,1,0.8176
1344,0,1,0.8176
1368,0,1,0.8176
1392,0,1,0.8176
1416,0,1,0.8176
1440,0,1,0.8176
1464,0,1,0.8176
1488,0,1,0.8176
1512,0,1,0.8176
1536,0,1,0.8176
1560,0,1,0.8176
1584,0,1,0.8176
1608,0,1,0.8176
1632,0,1,0.8176
1656,0,1,0.8176
1680,0,1,0.8176
1704,0,1,0.8176
1728,0,1,0.8176
1752,0,1,0.8176
1776,0,1,0.8176
1800,0,1,0.8176
1824,0,1,0.8176
1848,0,1,0.8176
1872,0,1,0.8176
1896,0,1,0.8176
1920,0,1,0.8176
1944,0,1,0.8176
1968,0,1,0.8176
1992,0,1,0.8176
2016,0,1,0.8176
2040,0,1,0.8176
2064,0,1,0.8176
2088,0,1,0.8176
2112,0,1,0.8176
2136,0,1,0.8176
2160,0,1,0.8176
2184,0,1,0.8176
2208,0,1,0.8176
2232,0,1,0.8176
2256,0,1,0.8176
2280,0,1,0.8176
2304,0,1,0.8176
2328,0,1,0.8176
2352,0,1,0.8176
2376,0,1,0.8176
2400,0,1,0.8176
2424,0,1,0.8176
2448,0,1,0.8176
2472,0,1,0.8176
2496,0,1,0.8176
2520,0,1,0.8176
2544,0,1,0.8176
2568,0,1,0.8176
2592,0,1,0.8176
2616,0,1,0.8176
2640,0,1,0.8176
2664,0,1,0.8176
2688,0,1,0.8176
2712,0,1,0.8176
2736,0,1,0.8176
2760,0,1,0.8176
2784,0,1,0.8176
2808,0,1,0.8176
2832,0,1,0.8176
2856,0,1,0.8176
2880,0,1,0.8176
2904,0,1,0.8176
2928,0,1,0.8176
2952,0,1,0.8176
2976,0,1,0.8176
3000,0,1,0.8176
3024,0,1,0.8176
3048,0,1,0.8176
3072,0,1,0.8176
3096,0,1,0.8176
3120,0,1,0.8176
3144,0,1,0.8176
3168,0,1,0.8176
3192,0,1,0.8176
3216,0,1,0.8176
3240,0,1,0.8176
3264,0,1,0.8176
3288,0,1,0.8176
3312,0,1,0.8176
3336,0,1,0.8176
3360,0,1,0.8176
3384,0,1,0.8176
3408,0,1,0.8176
3432,0,1,0.8176
3456,0,1,0.8176
3480,0,1,0.8176
3504,0,1,0.8176
3528,0,1,0.8176
