cycle,0,name,parent.name,is_main_stem,can_split,is_branch,energy,level,length,width,base.x,base.y,base.z,end.x,end.y,end.z
0,0,stem0,plant_seed0,true,true,false,0.0,1.0,0.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0
1,2,stem0,plant_seed0,true,true,false,0.3,1.0,0.01214817768223547,0.00173050964134408,50.0,50.0,0.0,50.0,50.0,0.01214817768223547
2,2,stem0,plant_seed0,true,true,false,0.6,1.0,0.02429271145778006,0.00346050020766098,50.0,50.0,0.0,50.0,50.0,0.02429271145778006
3,2,stem0,plant_seed0,true,true,false,0.8999999999999999,1.0,0.03643360241964194,0.00518997185464985,50.0,50.0,0.0,50.0,50.0,0.03643360241964194
4,2,stem0,plant_seed0,true,true,false,1.2,1.0,0.04857085166050107,0.00691892473796312,50.0,50.0,0.0,50.0,50.0,0.04857085166050107
5,2,stem0,plant_seed0,true,true,false,1.5,1.0,0.06070446027270916,0.00864735901320643,50.0,50.0,0.0,50.0,50.0,0.06070446027270916
6,2,stem0,plant_seed0,true,true,false,1.8,1.0,0.07283442934828965,0.0103752748359387,50.0,50.0,0.0,50.0,50.0,0.07283442934828965
7,2,stem0,plant_seed0,true,true,false,2.1,1.0,0.08496075997894681,0.01210267236167334,50.0,50.0,0.0,50.0,50.0,0.08496075997894681
8,2,stem0,plant_seed0,true,true,false,2.4,1.0,0.09708345325603862,0.01382955174587445,50.0,50.0,0.0,50.0,50.0,0.09708345325603862
9,2,stem0,plant_seed0,true,true,false,2.6999999999999997,1.0,0.10920251027061735,0.01555591314396258,50.0,50.0,0.0,50.0,50.0,0.10920251027061735
10,2,stem0,plant_seed0,true,true,false,2.9999999999999996,1.0,0.12131793211339349,0.01728175671130961,50.0,50.0,0.0,50.0,50.0,0.12131793211339349
11,2,stem0,plant_seed0,true,true,false,3.2999999999999994,1.0,0.13342971987475832,0.01900708260324192,50.0,50.0,0.0,50.0,50.0,0.13342971987475832
12,2,stem0,plant_seed0,true,true,false,3.599999999999999,1.0,0.14553787464477042,0.02073189097503852,50.0,50.0,0.0,50.0,50.0,0.14553787464477042
13,2,stem0,plant_seed0,true,true,false,3.899999999999999,1.0,0.15764239751316006,0.02245618198193163,50.0,50.0,0.0,50.0,50.0,0.15764239751316006
14,2,stem0,plant_seed0,true,true,false,4.199999999999999,1.0,0.16974328956934281,0.02417995577910866,50.0,50.0,0.0,50.0,50.0,0.16974328956934281
15,2,stem0,plant_seed0,true,true,false,4.499999999999999,1.0,0.1818405519023925,0.02590321252170833,50.0,50.0,0.0,50.0,50.0,0.1818405519023925
16,2,stem0,plant_seed0,true,true,false,4.799999999999999,1.0,0.19393418560106374,0.0276259523648239,50.0,50.0,0.0,50.0,50.0,0.19393418560106374
17,2,stem0,plant_seed0,true,true,false,5.099999999999999,1.0,0.20602419175378733,0.02934817546350247,50.0,50.0,0.0,50.0,50.0,0.20602419175378733
18,2,stem0,plant_seed0,true,true,false,5.399999999999999,1.0,0.21811057144865695,0.03106988197274315,50.0,50.0,0.0,50.0,50.0,0.21811057144865695
19,2,stem0,plant_seed0,true,true,false,5.699999999999998,1.0,0.2301933257734514,0.0327910720475002,50.0,50.0,0.0,50.0,50.0,0.2301933257734514
20,2,stem0,plant_seed0,true,true,false,5.999999999999998,1.0,0.24227245581562132,0.03451174584268109,50.0,50.0,0.0,50.0,50.0,0.24227245581562132
21,2,stem0,plant_seed0,true,true,false,6.299999999999998,1.0,0.2543479626622846,0.03623190351314595,50.0,50.0,0.0,50.0,50.0,0.2543479626622846
22,2,stem0,plant_seed0,true,true,false,6.599999999999998,1.0,0.26641984740023544,0.03795154521370875,50.0,50.0,0.0,50.0,50.0,0.26641984740023544
23,2,stem0,plant_seed0,true,true,false,6.899999999999998,1.0,0.27848811111594424,0.03967067109913736,50.0,50.0,0.0,50.0,50.0,0.27848811111594424
24,2,stem0,plant_seed0,true,true,false,7.1999999999999975,1.0,0.29055275489555765,0.04138928132415351,50.0,50.0,0.0,50.0,50.0,0.29055275489555765
25,2,stem0,plant_seed0,true,true,false,7.499999999999997,1.0,0.3026137798248941,0.04310737604343221,50.0,50.0,0.0,50.0,50.0,0.3026137798248941
26,2,stem0,plant_seed0,true,true,false,7.799999999999997,1.0,0.31467118698943936,0.04482495541160104,50.0,50.0,0.0,50.0,50.0,0.31467118698943936
